Event Description;Date Event Began;Time Event Began;Date of Restoration;Time of Restoration;Respondent;Geographic Areas;Demand Loss (MW);Number of Customers Affected;Tags
Physical Attack - Vandalism;1/22/2014;0:30;1/22/2014;2:45;Madison Gas and Electric;Wisconsin;Unknown;Unknown;vandalism, physical
Vandalism;1/23/2011;7:00;1/23/2011;13:00;PacifiCorp;Franklin County, Idaho;0;0;vandalism
Severe Weather - Wind Storm;1/20/2013;3:30;1/23/2013;6:15;Detroit Edison Co;Southeastern Michigan;Unknown;146500;severe weather, wind
Suspected Physical Attack;1/22/2014;21:15;1/23/2014;3:08;Public Service Electric &Gas;Burlington County, New Jersey;Unknown;Unknown;vandalism, physical
Suspicious Activity;1/24/2011;13:20;1/24/2011;13:30;El Paso Electric Company;Newman Power Plant, Texas;0;0;vandalism
Vandalism;1/24/2012;11:22;1/24/2012;11:22;Tacoma Power (TPWR);Tacoma, Washington;Unknown;Unknown;vandalism
Physical Attack - Vandalism;1/24/2014;15:30;1/24/2014;17:00;Madison Gas and Electric;Wisconsin;Unknown;Unknown;vandalism, physical
Physical Attack - Vandalism;1/23/2014;21:17;1/24/2014;17:00;Tacoma Power (TPWR);Wynoochee, Washington;Unknown;Unknown;vandalism, physical
Public Appeal due to Severe Weather - Cold;1/23/2014;16:00;1/24/2014;0:00;Tennessee Valley Authority;Tennessee;Unknown;Unknown;severe weather, cold
Public Appeal due to Severe Weather - Cold;1/23/2014;4:00;1/24/2014;0:00;Memphis Light Gas and Water Division;Tennessee;Unknown;Unknown;severe weather, cold
Public Appeal due to Severe Weather - Cold;1/23/2014;13:04;1/24/2014;9:00;PJM Interconnection;Maryland;Unknown;Unknown;severe weather, cold
Vandalism;1/25/2011;3:23;1/25/2011;11:00;Atlantic City Electric;Newark, Delaware;0;0;vandalism
Physical Attack - Vandalism;1/25/2014;10:00;1/25/2014;11:00;Madison Gas and Electric;Madison, Wisconsin;Unknown;Unknown;vandalism, physical
Vandalism;1/27/2011;9:30;1/27/2011;9:30;Delmarva Power & Light Company;Hockessin, Delaware;0;0;vandalism
Winter Storm;1/26/2011;19:43;1/27/2011;18:18;Dominion - Virginia Power;Northern Virginia;600;150084;severe weather, winter storm
Suspected Telecommunications Attack;1/26/2011;9:25;1/27/2011;17:00;NV Energy;Carson City, Nevada;0;0;vandalism, cyber
Vandalism;1/26/2011;9:33;1/27/2011;15:03;ITC Transmission;Michigan;0;0;vandalism
Vandalism;1/27/2012;9:40;1/27/2012;9:40;Tacoma Power (TPWR);Frederickson Substation, Spanaway, Washington;Unknown;Unknown;vandalism
Physical Attack - Vandalism;1/26/2014;21:00;1/27/2014;11:00;PacifiCorp;Oregon;Unknown;Unknown;vandalism, physical
Physical Attack;1/28/2013;16:46;1/28/2013;18:00;Tacoma Power (TPWR);Tacoma Narrows Crossing, Washington;Unknown;Unknown;vandalism, physical
Public Appeal due to Severe Weather - Cold;1/27/2014;14:20;1/28/2014;21:00;PJM Interconnection;Maryland;Unknown;Unknown;severe weather, cold
Winter Storm;1/26/2011;18:28;1/29/2011;17:00;Baltimore Gas and Electric Company;Maryland;Unknown;234326;severe weather, winter storm
Vandalism;1/29/2012;0:45;1/29/2012;0:45;Tacoma Power (TPWR);Roosevelt Substation, Tacoma, Washington;Unknown;Unknown;vandalism
Physical Attack - Vandalism;1/29/2014;16:00;1/29/2014;16:44;Madison Gas and Electric;Unknown;Unknown;Unknown;vandalism, physical
Fuel Supply Deficiency (Coal);1/27/2011;17:00;1/30/2011;5:00;AES Greenidge, LLC;Central New York;108;Unknown;fuel supply emergency, coal
Winter Storm;1/26/2011;17:00;1/31/2011;8:00;Potomac Electric Power Co/ PEPCO Holdings Inc.;Montgomery and Prince George's County, Maryland and District of Columbia;Unknown;210000;severe weather, winter storm
Severe Weather - Wind Storm;1/31/2013;6:30;1/31/2013;10:00;ISO New England;Connecticut;75;75000;severe weather, wind
Severe Weather - Wind Storm;1/31/2013;3:05;1/31/2013;4:48;Dominion Virginia Power;Central and Eastern Virginia;188;119000;severe weather, wind
Suspected physical attack;1/4/2012;0:14;1/4/2012;0:14;Tacoma Power (TPWR);Tacoma, Washington;Unknown;Unknown;vandalism, physical
Sabotage;1/5/2012;10:35;1/5/2012;12:25;American Electric Power;CSWS/AEP West territory, Oklahoma;0;0;vandalism
Suspected physical attack;1/5/2012;10:28;1/5/2012;12:25;Oklahoma Gas and Electric;Creek County, Oklahoma;Unknown;Unknown;vandalism, physical
Public Appeal due to Severe Weather - Cold;1/6/2014;22:00;1/6/2014;22:01;Louisville Gas & Electric Co;Kentucky;Unknown;Unknown;severe weather, cold
Voltage Reduction due to Severe Weather - Cold;1/6/2014;19:50;1/6/2014;20:49;UGI Utilities, Inc;Pennsylvania;200;62000;severe weather, cold
Voltage Reduction due to Severe Weather - Cold;1/6/2014;19:52;1/6/2014;20:45;Delmarva Power & Light Company;Delaware;Unknown;Unknown;severe weather, cold
Voltage Reduction due to Severe Weather - Cold;1/6/2014;19:50;1/6/2014;20:44;Potomac Electric Power Co;District of Columbia;Unknown;Unknown;severe weather, cold
